metric,method,band,n_complete_seizures,n_subjects,model_type,slope_per_minute,statistic,p_uncorrected,p_fdr_bh,skip_reason,fallback_reason
mean_betweenness_centrality,aec,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00017266102171762374,-0.5257464466829003,0.5990643878983257,0.8062174939940084,,
mean_betweenness_centrality,aec,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00018264405056857698,0.4946952859735109,0.6208152295932654,0.8277536394576872,,
mean_betweenness_centrality,aec,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0008800947480192741,2.758602871955738,0.005804903124408751,0.1986693059877965,,
mean_betweenness_centrality,coherence,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0003391960939130737,1.296443335679389,0.19482279018021376,0.6351498591079338,,
mean_betweenness_centrality,coherence,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00014089683901005094,-0.5827379206549332,0.5600697414516871,0.7754811804715668,,
mean_betweenness_centrality,coherence,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.000263188942434231,1.050761849943327,0.2933679814550776,0.6727203453817511,,
mean_betweenness_centrality,coherence,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0003857079328777435,1.5963076823647664,0.11042011574051472,0.5704015886545709,,
mean_betweenness_centrality,coherence,delta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00026523092560827984,0.7846474533614143,0.43266029938732,0.7224364348861364,,
mean_betweenness_centrality,coherence,theta,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.0007494078248795237,2.501468103834097,0.012367958272356143,0.2226232489024106,,
mean_betweenness_centrality,wpli,alpha1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-8.64439543684819e-05,-0.43053722187735094,0.6668048965370916,0.8363138549535307,,
mean_betweenness_centrality,wpli,alpha2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.0001363590986232514,-0.6406028484152219,0.5217807484653642,0.7589538159496205,,
mean_betweenness_centrality,wpli,beta1,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,0.00017515677893036404,0.897169275049295,0.3696285975481628,0.6727203453817511,,
mean_betweenness_centrality,wpli,beta2,159,24,linear_mixed_effects_subject_random_intercept_seizure_vc,-0.00013930862987467102,-0.589228067642676,0.5557082911545311,0.7754811804715668,,
