metric,method,band,n_complete_seizures,n_subjects,model_type,test_name,statistic,df1,df2,p_uncorrected,p_fdr_bh,effect_size,skip_reason,fallback_reason
mean_connectivity,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.0933413022716,3.0,,0.25155975640845596,0.5842678213357687,,,
mean_connectivity,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,7.037413808818995,3.0,,0.07071477969435398,0.37714549170322126,,,
mean_connectivity,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,10.31122884513753,3.0,,0.016097670637075505,0.25373789873267977,,,
mean_connectivity,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.9828696213981347,3.0,,0.3942738915387014,0.6647331414536581,,,
mean_connectivity,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.176136189338418,3.0,,0.5366640803538929,0.739414909353474,,,
mean_connectivity,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.95340902304112,3.0,,0.26653926252344384,0.5846675139297397,,,
mean_connectivity,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.8740974240588462,3.0,,0.8316737648867782,0.9072804707855763,,,
mean_connectivity,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.125060618839212,3.0,,0.2482726558267583,0.5842678213357687,,,
mean_connectivity,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,9.990976111678556,3.0,,0.018642997770420815,0.25373789873267977,,,
mean_connectivity,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.9403961838029162,3.0,,0.2679726105511307,0.5846675139297397,,,
mean_connectivity,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.2273016911468995,3.0,,0.1558898450919927,0.5141042116065346,,,
modularity,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.624205632663217,3.0,,0.20147540771033828,0.5602830282577691,,,
modularity,aec,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.7328252560204875,3.0,,0.86545728816778,0.9300436529564203,,,
modularity,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,8.363546680637146,3.0,,0.039066467319537314,0.2812785647006687,,,
modularity,aec,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.275953929167979,3.0,,0.2331666212779296,0.5690846349834214,,,
modularity,aec,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.0812177251159962,3.0,,0.3792717245046735,0.6580135943213612,,,
modularity,aec,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.9653822616919223,3.0,,0.3969934039237125,0.6647331414536581,,,
modularity,coherence,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.878112042976272,3.0,,0.8307064040709867,0.9072804707855763,,,
modularity,coherence,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.0191088225472595,3.0,,0.796628320628428,0.9003189451995057,,,
modularity,coherence,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.6557141707500236,3.0,,0.6468240039378037,0.8297147445545856,,,
modularity,coherence,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,11.1832599751028,3.0,,0.010775091678620721,0.19395165021517297,,,
modularity,coherence,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.6430880244760973,3.0,,0.4499856830377601,0.6770298874729298,,,
modularity,coherence,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.5156095259616658,3.0,,0.31874325363889655,0.6039345858421198,,,
modularity,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.507865845943275,3.0,,0.47387122592977693,0.6892672377160391,,,
modularity,wpli,alpha2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.255189983659389,3.0,,0.0998336518436522,0.3993346073746088,,,
modularity,wpli,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.601431190272246,3.0,,0.20341934130545575,0.5602830282577691,,,
modularity,wpli,beta2,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,5.691983018337152,3.0,,0.12759632865258957,0.4835229296308658,,,
modularity,wpli,delta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.632324974562053,3.0,,0.6520827607616262,0.8297147445545856,,,
modularity,wpli,theta,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.569026742586227,3.0,,0.20621528123376223,0.5602830282577691,,,
small_worldness,aec,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.3169523374528604,3.0,,0.34529015582843015,0.6215222804911742,,,
small_worldness,aec,alpha2,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.7670693736508651,3.0,,0.6221270911878138,0.8289672857533479,,,
small_worldness,aec,beta1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.052768477171642,3.0,,0.2558221755736806,0.5846675139297397,,,
small_worldness,aec,beta2,153,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,2.5767627278100957,3.0,,0.46157791188161557,0.6782369317444147,,,
small_worldness,aec,delta,150,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.6372017444578244,3.0,,0.650984297945149,0.8297147445545856,,,
small_worldness,aec,theta,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.0295934623620706,3.0,,0.38708491370943715,0.6635741377876065,,,
small_worldness,coherence,alpha1,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.61117995074478,3.0,,0.6568575061057136,0.8297147445545856,,,
small_worldness,coherence,alpha2,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,0.7793025209370021,3.0,,0.8544109201334562,0.9250764849565241,,,
small_worldness,coherence,beta1,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,7.066133756055305,3.0,,0.06981947210300096,0.37714549170322126,,,
small_worldness,coherence,beta2,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.605974277972563,3.0,,0.08557553607300245,0.38226341563543,,,
small_worldness,coherence,delta,153,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,14.339926938082815,3.0,,0.002477138951320868,0.11890266966340164,,,
small_worldness,coherence,theta,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.974401383659569,3.0,,0.17368122614705458,0.5237584431853034,,,
small_worldness,wpli,alpha1,155,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,9.245230794213425,3.0,,0.02620199180078723,0.259282814268171,,,
small_worldness,wpli,alpha2,154,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.8239379009697467,3.0,,0.2811140024839604,0.6008903696598039,,,
small_worldness,wpli,beta1,151,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,4.406440103321552,3.0,,0.22078898242669484,0.5690846349834214,,,
small_worldness,wpli,beta2,153,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,1.0040023492483379,3.0,,0.8002835068440051,0.9003189451995057,,,
small_worldness,wpli,delta,148,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,6.725533106120484,3.0,,0.08118001739396523,0.38124221721225643,,,
small_worldness,wpli,theta,153,24,linear_mixed_effects_subject_random_intercept_seizure_vc,wald_chi_square_window_terms,3.6252505341281713,3.0,,0.30487716504124784,0.6008903696598039,,,
