metric,method,band,contrast,n_pairs,n_subjects,mean_baseline,mean_comparison,mean_difference,t,t_df,t_p_uncorrected,t_p_fdr_bh,cohen_dz,wilcoxon_statistic,wilcoxon_p_uncorrected,wilcoxon_p_fdr_bh,omnibus_p_fdr_bh,interpret_posthoc,skip_reason
characteristic_path_length,coherence,alpha1,Baseline_vs_T0,155,24,5.029990668219931,5.0464219662887375,0.016431298068806357,0.280398710157854,154.0,0.7795479447945072,0.9277264797554466,0.02252216637981178,5514.0,0.34281444599162025,0.6812334056688145,0.6770298874729298,False,
characteristic_path_length,coherence,alpha1,Baseline_vs_T1,155,24,5.029990668219931,5.090099174517639,0.06010850629770786,1.006159578784205,154.0,0.3159171198583366,0.6650808293228171,0.08081668216398702,5113.0,0.09591355695889943,0.4455339420026296,0.6770298874729298,False,
characteristic_path_length,coherence,alpha1,Baseline_vs_T2,155,24,5.029990668219931,5.110560635943721,0.08056996772379134,1.3362402570069538,154.0,0.1834418289491337,0.600707852717897,0.1073294002485628,4762.0,0.02190280467930592,0.3586663761222973,0.6770298874729298,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T0,155,24,5.16936980974007,5.171940876438078,0.0025710666980072786,0.04487153927814324,154.0,0.9642678337374014,0.9871177824041645,0.0036041687665812334,5986.0,0.9160567447810709,0.9737571447584864,0.934552671822563,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T1,155,24,5.16936980974007,5.19077583074497,0.021406021004900366,0.3580786382183602,154.0,0.720774802966296,0.9046958313206618,0.028761568348407197,5939.0,0.8498055816077075,0.9610366786767791,0.934552671822563,False,
characteristic_path_length,coherence,alpha2,Baseline_vs_T2,155,24,5.16936980974007,5.145401867214507,-0.023967942525563397,-0.4014817729598915,154.0,0.6886220268467035,0.8980351570182,-0.032247792024342956,5517.0,0.3455481718474963,0.6812334056688145,0.934552671822563,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T0,155,24,5.30344876544719,5.252338329554654,-0.05111043589253641,-0.9349433411312019,154.0,0.3512812125283644,0.6993248101947163,-0.07509645630252641,5568.0,0.3941312697188033,0.709436285493846,0.8157627595305136,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T1,155,24,5.30344876544719,5.3274756176452085,0.024026852198017815,0.3779659394628187,154.0,0.7059763535320037,0.8996512823770667,0.03035895482433278,5993.0,0.9259855704970098,0.9737571447584864,0.8157627595305136,False,
characteristic_path_length,coherence,beta1,Baseline_vs_T2,155,24,5.30344876544719,5.298317075507702,-0.005131689939488095,-0.08522741719244747,154.0,0.9321912940351031,0.977443298599914,-0.006845630884141094,5927.0,0.8330400512141529,0.9470350055908264,0.8157627595305136,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T0,155,24,5.430535727226203,5.552629795842724,0.12209406861652047,1.9683635282252587,154.0,0.050821651974754044,0.4147926583012937,0.15810276321772473,4920.0,0.044453851055679665,0.3586663761222973,0.19395165021517297,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T1,155,24,5.430535727226203,5.595053885826358,0.16451815860015398,2.377330498044963,154.0,0.018666144912534627,0.2914100854130139,0.19095178072191188,5069.0,0.08122869840518633,0.4160114403381392,0.19395165021517297,False,
characteristic_path_length,coherence,beta2,Baseline_vs_T2,155,24,5.430535727226203,5.614079915562205,0.18354418833600095,2.687425030179443,154.0,0.007992187017790557,0.288817611864498,0.21585917292165097,5135.0,0.10401487261775355,0.44867054490197567,0.19395165021517297,False,
characteristic_path_length,coherence,delta,Baseline_vs_T0,155,24,4.441876481769698,4.531510509771788,0.08963402800209043,0.9610793619251292,154.0,0.33801883686338563,0.6935162242051415,0.07719575201075442,5932.0,0.8400169245010349,0.9524601348673153,0.5237584431853034,False,
characteristic_path_length,coherence,delta,Baseline_vs_T1,155,24,4.441876481769698,4.607771267206182,0.1658947854364842,1.9294086491618643,154.0,0.05551873685959447,0.42077358462008446,0.15497383203584694,5828.0,0.6982636832058494,0.8851623397818827,0.5237584431853034,False,
characteristic_path_length,coherence,delta,Baseline_vs_T2,155,24,4.441876481769698,4.5978661829289,0.15598970115920321,1.8606827169258384,154.0,0.06469575231801608,0.4293646061670533,0.14945363231896502,5419.0,0.2634242800962574,0.6252708186900175,0.5237584431853034,False,
characteristic_path_length,coherence,theta,Baseline_vs_T0,155,24,4.838887770150938,4.791069078261811,-0.0478186918891273,-0.5734036387425503,154.0,0.567207819284484,0.841566070440616,-0.04605688859010422,5552.0,0.3784624298537047,0.6942416943716748,0.5237584431853034,False,
characteristic_path_length,coherence,theta,Baseline_vs_T1,155,24,4.838887770150938,4.856705705884586,0.01781793573364848,0.20146451409113464,154.0,0.8406012367957073,0.9556308797256462,0.016182019180594916,5861.0,0.7423736451143561,0.8974552358485357,0.5237584431853034,False,
characteristic_path_length,coherence,theta,Baseline_vs_T2,155,24,4.838887770150938,4.951757174668158,0.11286940451721936,1.3982044347020437,154.0,0.1640620911232621,0.5856545677773876,0.11230648277098733,5245.0,0.1529521877413494,0.5302157339002836,0.5237584431853034,False,
characteristic_path_length,wpli,alpha1,Baseline_vs_T0,155,24,7.307355077073906,7.034521234364174,-0.27283384270973055,-1.2589125122884202,154.0,0.2099669105592901,0.6283819205916824,-0.10111828632672638,5033.0,0.07061987173693825,0.4160114403381392,0.6305336798891876,False,
